id	source_file	source_line	category	verbatim	literals
surveywts-conventions-001	.claude/rules/surveywts-conventions.md	3	tiebreaker	This document extends the **generic R package conventions** (`r-package-conventions.md`) with surveywts-specific examples and detailed guidance.	r-package-conventions.md
surveywts-conventions-002	.claude/rules/surveywts-conventions.md	6	procedure	**Read `r-package-conventions.md` first, then this document.**	r-package-conventions.md
surveywts-conventions-003	.claude/rules/surveywts-conventions.md	14	value	Error prefix | `surveywts_error_*` | `surveywts_error_weights_nonpositive`	surveywts_error_*;surveywts_error_weights_nonpositive
surveywts-conventions-004	.claude/rules/surveywts-conventions.md	15	value	Warning prefix | `surveywts_warning_*` | `surveywts_warning_no_weights_trimmed`	surveywts_warning_*;surveywts_warning_no_weights_trimmed
surveywts-conventions-005	.claude/rules/surveywts-conventions.md	16	value	Internal constructor return | Visible (the new object) | `.make_history_entry()`	.make_history_entry()
surveywts-conventions-006	.claude/rules/surveywts-conventions.md	17	value	Internal validator return | `invisible(TRUE)` on success | `.validate_weights()`	invisible(TRUE);.validate_weights()
surveywts-conventions-007	.claude/rules/surveywts-conventions.md	18	value	Print method return | `invisible(x)` | `S7::method(print, surveycore::survey_nonprob)`, `S7::method(print, surveycore::survey_replicate)`	invisible(x);S7::method(print, surveycore::survey_nonprob);S7::method(print, surveycore::survey_replicate);survey_nonprob;survey_replicate
surveywts-conventions-008	.claude/rules/surveywts-conventions.md	19	value	Diagnostic function return | Visible named scalar or tibble | `effective_sample_size()`	effective_sample_size()
surveywts-conventions-009	.claude/rules/surveywts-conventions.md	27	mapping	User-facing calibration functions | verb | `calibrate()`, `calibrate_rake()`, `poststratify()`	calibrate();calibrate_rake();poststratify()
surveywts-conventions-010	.claude/rules/surveywts-conventions.md	28	mapping	User-facing nonresponse function | verb + noun | `adjust_nonresponse()`	adjust_nonresponse()
surveywts-conventions-011	.claude/rules/surveywts-conventions.md	29	mapping	User-facing diagnostic functions | noun phrase | `effective_sample_size()`, `weight_variability()`, `summarize_weights()`	effective_sample_size();weight_variability();summarize_weights()
surveywts-conventions-012	.claude/rules/surveywts-conventions.md	30	mapping	Internal validators | `.validate_` prefix | `.validate_weights()`, `.validate_calibration_variables()`	.validate_;.validate_weights();.validate_calibration_variables()
surveywts-conventions-013	.claude/rules/surveywts-conventions.md	31	mapping	Internal shared helpers | `.` prefix + descriptive name | `.get_weight_vec()`, `.compute_weight_stats()`, `.make_history_entry()`	.get_weight_vec();.compute_weight_stats();.make_history_entry()
surveywts-conventions-014	.claude/rules/surveywts-conventions.md	32	mapping	Internal single-file helpers | `.` prefix + descriptive name | `.parse_margins()`, `.validate_population_cells()`	.parse_margins();.validate_population_cells()
