id	verdict	location	evidence
code-style-001	DELETED		Approved under C2 (13.4): "delete... the sixteen lines of Version/Created/Status headers across six files"
code-style-002	DELETED		Approved under A1 (13.1): "2 spaces per indent level. No tabs." — spec row A1 explicitly names "quick ref" as a source location for this statement
code-style-003	DELETED		Approved under A2 (13.1): "80 characters maximum." — spec row A2 explicitly names "quick ref" as a source location for this statement
code-style-004	MOVED	.claude/standards/code-style.md:9	"Auto-formatter | `air` (Posit's R formatter) |"
code-style-005	MOVED	.claude/standards/code-style.md:10	"Pipe operator | Native `\|>` only |"
code-style-006	MOVED	.claude/standards/code-style.md:11	"Style guide | tidyverse style (via air) |"
code-style-007	MOVED	.claude/standards/code-style.md:12	"Property access | Direct `@` everywhere on surveycore S7 objects — surveywts defines no accessor generics; the only wrappers are the internal `.get_*()` helpers in `utils.R` |"
code-style-008	MOVED	.claude/standards/code-style.md:13	"Argument order | `x`/`data` first → required NSE → required scalar → optional NSE → optional scalar → `...` |"
code-style-009	MOVED	.claude/standards/code-style.md:367-368	"`surveywts-conventions.md` §3 says where a helper lives: inline if used in 1 file, a shared utils file if used in 2+ files."
code-style-010	MOVED	.claude/standards/code-style.md:14	"Dispatch rule | `S7::method()` for extending existing generics; plain function + `S7::S7_inherits()` for everything else — surveywts defines no generics and no classes |"
code-style-011	MOVED	.claude/standards/code-style.md:15	"Type check (S7 objects) | `S7::S7_inherits(x, surveycore::survey_taylor)` — fully qualified, never a string |"
code-style-012	MOVED	.claude/standards/code-style.md:16	"Accepted input classes | `survey_base` objects only — each family has its own input gate; see §2 |"
code-style-013	MOVED	.claude/standards/code-style.md:104-109	"Print methods for `survey_nonprob` and `survey_replicate` live in `R/methods-print.R`. They register through `S7::methods_register()`, called from `.onLoad()` in `R/zzz.R`..."
code-style-014	DEDUPED	.claude/standards/surveywts-conventions.md:120	"Calibration / nonresponse functions | Visible (updated object, same class as input)"
code-style-015	DEDUPED	.claude/standards/surveywts-conventions.md:123	"Diagnostic functions | Visible (named scalar or tibble)"
code-style-016	DEDUPED	.claude/standards/surveywts-conventions.md:125	"Print / summary methods | `invisible(x)`"
