file	verdict	what	evidence
.claude/standards/code-style.md	DELETED	Version/Created/Status header (3 lines)	C2
.claude/standards/code-style.md	DELETED	Pipe operator Correct/Wrong code example (rule text kept as one line)	13.1 (A3 kept as prose, example dropped)
.claude/standards/code-style.md	DELETED	Assignment operator Correct/Wrong code example (rule text kept as one line, "weights_var = names(weights_cols)" literal kept inline)	13.1 (A4 kept as prose, example dropped)
.claude/standards/code-style.md	DEDUPED	Import style bare restatement "`::` everywhere; no `@importFrom` in any source file" + Correct/Wrong code example	r-package-conventions.md:124-136 "### `::` everywhere — no `@importFrom` / Call all external package functions with `::`. No `@importFrom` in any source file." + rlang::enquo() Correct/Wrong block
.claude/standards/code-style.md	DEDUPED	Quick Reference row "Import style"	r-package-conventions.md:124-126 (same as above)
.claude/standards/code-style.md	DEDUPED	NAMESPACE hygiene bullet "Never manually edit NAMESPACE — 100% generated by devtools::document()"	r-package-conventions.md:151-157 "### `NAMESPACE` is never manually edited / `NAMESPACE` carries the `# Generated by roxygen2: do not edit by hand` header. It is a build artifact."
.claude/standards/code-style.md	DEDUPED	Quick Reference row "NAMESPACE edits"	r-package-conventions.md:151-157 (same as above)
.claude/standards/code-style.md	DEDUPED	NAMESPACE hygiene bullet "Run devtools::document() before committing any file that changes roxygen2"	core.md:60-61 "Run `devtools::document()` before committing any file with roxygen2 changes."
.claude/standards/code-style.md	DEDUPED	NAMESPACE hygiene bullet "Export policy: user-facing functions only; no re-exports. surveywts defines no classes and no generics"	r-package-conventions.md:140-142 "### No re-exports / Do not re-export the pipe, tidyselect helpers, or other utility functions." + surveywts-conventions.md:131-140 (the 23 exported names)
.claude/standards/code-style.md	DEDUPED	NAMESPACE hygiene bullet "Run devtools::check() before opening a PR; CI uses --as-cran"	core.md:62 "Run `devtools::check()` before opening a PR." + r-package-conventions.md:194-197 (CI args block with --as-cran --no-manual)
.claude/standards/code-style.md	DEDUPED	"R CMD check targets" subsection (0/0/<=2 notes + two pre-approved notes)	r-package-conventions.md:163-179 "### `R CMD check` targets ... Any other note is treated as a bug and blocks the PR."
.claude/standards/code-style.md	DEDUPED	Quick Reference row "R CMD check"	r-package-conventions.md:163-168 (same as above)
.claude/standards/code-style.md	DEDUPED	"Dependency pinning" subsection	r-package-conventions.md:214-227 "### Minimum version pinning / Specify **lower bounds** for all `Imports` dependencies. ... Do NOT use exact version pins (`==`)."
.claude/standards/code-style.md	DEDUPED	"Required tags on all exported functions" bullet "@returns — required on every exported function"	function-documentation.md:95-97 "### `@returns` / Use `@returns` (not `@return`) on every exported function."
.claude/standards/code-style.md	DEDUPED	"Required tags" bullet "@examples — must run during R CMD check. \dontrun{} only for external resources"	function-documentation.md:195,201-203 "### `@examples` ... Do not use `\dontrun{}` except for examples that genuinely require external resources ... Every other example must run successfully during `R CMD check`."
.claude/standards/code-style.md	DEDUPED	"Required tags" bullet "@family — group exports by type"	surveywts-conventions.md:38-50 "## 2. Function Families (`@family` groups)" table + "Use `@family calibration`, ... in roxygen2."
.claude/standards/code-style.md	DEDUPED	"Internal helper documentation" table (one-liner vs @keywords internal + @noRd)	function-documentation.md:258-263 "### Internal Function Documentation" table, identical two rows
.claude/standards/code-style.md	DEDUPED	Print method registration sentence "Registration happens via S7::methods_register() called from .onLoad() in R/zzz.R"	surveywts-conventions.md:68 "`methods-print.R` | All print methods — two `S7::method(print, ...)` registrations for surveycore classes" + surveywts-conventions.md:160-164 code block registered by S7::methods_register() in .onLoad()
.claude/standards/code-style.md	DEDUPED	Quick Reference row "Print method file"	surveywts-conventions.md:68,160-164 (same as above)
.claude/standards/code-style.md	DEDUPED	"Return value visibility" table (§4)	surveywts-conventions.md:118-125 "## 4. Return Value Visibility" table
.claude/standards/code-style.md	DEDUPED	Quick Reference rows "Weighting function returns", "Diagnostic function returns", "Print/summary methods", "Validators (internal)"	surveywts-conventions.md:118-125 (same table)
.claude/standards/code-style.md	DEDUPED	Argument order full `ipw()` signature code example	surveywts-conventions.md:218 "| `ipw()` | `data, reference, selection = NULL, predictors = NULL, ... wt_name = \"ipw_weight\"` |"
