id	verdict	location	evidence
claude-md-001	PRESERVED	CLAUDE.md:13	"Calibration | `v0.1.0` | ✅ Complete | `calibrate()`, `calibrate_rake()`, `calibrate_linear()`, `calibrate_logit()`, `poststratify()`, basic diagnostics" — row unchanged verbatim in the Release Status table.
claude-md-002	PRESERVED	CLAUDE.md:14	"Replicate | minor bump | ✅ Complete | All `create_*_weights()` functions; `as_taylor_design()`" — unchanged verbatim.
claude-md-003	PRESERVED	CLAUDE.md:15	"Utilities | minor bump | ✅ Complete | `trim_weights()`, `rescale_weights()`" — unchanged verbatim.
claude-md-004	PRESERVED	CLAUDE.md:16	"Nonresponse | minor bump | ✅ Complete | `calibrate_to_survey()`, `calibrate_to_estimate()`, `adjust_nonresponse()`, `redistribute_weights()`" — unchanged verbatim.
claude-md-005	PRESERVED	CLAUDE.md:17	"Propensity | minor bump | ✅ Complete | Non-probability sample IPW; unlocks propensity nonresponse" — unchanged verbatim.
claude-md-006	PRESERVED	CLAUDE.md:18	"Diagnostics | minor bump | 🔜 Next | Balance assessment, `check_balance()`, `diagnose_propensity()`, `compare_weighted_estimates()`" — unchanged verbatim.
claude-md-007	PRESERVED	CLAUDE.md:19	"Polish | minor bump | ⬜ Pending | Vignettes, `--as-cran` clean, pkgdown" — unchanged verbatim.
claude-md-008	PRESERVED	CLAUDE.md:21	"Full roadmap at `plans/roadmap.md`." — unchanged verbatim.
claude-md-009	PRESERVED	.claude/rules/core.md:3-5	"Full conventions — including naming beyond the two classes below — are in `.claude/standards/surveywts-conventions.md` §1." Pointer target and section number preserved; path updated from .claude/rules/ to .claude/standards/, which is the approved directory rename (spec §4.2), not a meaning change. "The three below" narrowed to a description of the two class rules immediately following, but the pointer's substance (fuller conventions live in surveywts-conventions.md §1) is intact.
claude-md-010	PRESERVED	.claude/rules/core.md:37	"Error classes: `surveywts_error_{snake_case_condition}`" — unchanged verbatim.
claude-md-011	PRESERVED	.claude/rules/core.md:38	"Warning classes: `surveywts_warning_{snake_case_condition}`" — unchanged verbatim.
claude-md-012	PRESERVED	.claude/rules/core.md:44-45	"Internal helpers carry a `.` prefix (e.g., `.validate_weights()`) and are never exported." — same rule, same example, restated as prose instead of a bullet.
claude-md-013	PRESERVED	.claude/rules/core.md:7,9	"## 1. Design variables are sacred" / "Never remove a weight column." — heading + sentence preserve the exact prohibition, not narrowed.
claude-md-014	PRESERVED	.claude/rules/core.md:9-11	"Every weighting function either overwrites the existing weight column in place (`wt_name = NULL`, the default) or writes a new column and repoints `@variables$weights` at it." — verbatim.
claude-md-015	PRESERVED	.claude/rules/core.md:10	"(`wt_name = NULL`, the default)" — verbatim, embedded in the same sentence as claude-md-014; also restated standalone at core.md:30.
claude-md-016	PRESERVED	.claude/rules/core.md:11-12	"It never drops the old column" — verbatim.
claude-md-017	PRESERVED	.claude/rules/core.md:12-13	"and it refuses to write over a non-weight column: that throws `surveywts_error_wt_name_conflict`." — verbatim.
claude-md-018	PRESERVED	.claude/rules/core.md:15-16	"In-place overwrite of the main weight column is silent — no warning." — verbatim.
claude-md-019	PRESERVED	.claude/rules/core.md:16-18	"Only replicate weight columns warn when overwritten, via `surveywts_warning_repweights_overwritten` and `surveywts_warning_jackknife_repweights_overwritten`." — verbatim, both class names intact.
claude-md-020	PRESERVED	.claude/rules/core.md:25	"Every adjustment appends an entry to `@metadata@weighting_history`, built by" — verbatim opening clause.
claude-md-021	PRESERVED	.claude/rules/core.md:25-26	"built by `.make_history_entry()`" — verbatim.
claude-md-022	PRESERVED	.claude/rules/core.md:26	"and written by `.update_survey_weights()`." — verbatim (reads "`.make_history_entry()` and written by `.update_survey_weights()`.").
claude-md-023	PRESERVED	.claude/rules/core.md:20	"Column removal and rename hooks are surveycore and surveytidy concerns." — verbatim.
claude-md-024	PRESERVED	.claude/rules/core.md:21	"surveywts has no code path that removes or renames a column." — verbatim.
claude-md-025	PRESERVED	.claude/rules/core.md:49-50	"Every non-trivial change lives on a feature branch — never commit" — verbatim opening clause.
claude-md-026	PRESERVED	.claude/rules/core.md:49-50	"never commit implementation code to `main` or `develop`." — verbatim.
claude-md-027	PRESERVED	.claude/rules/core.md:51-52	"Branch naming: `feature/`, `fix/`, `hotfix/`, `test/`, `docs/`, `chore/`, `refactor/`." — verbatim, same order.
claude-md-028	PRESERVED	.claude/rules/core.md:53	"All commits use Conventional Commits format: `feat(scope): description`." — verbatim.
