id	source_file	source_line	category	verbatim	literals
r-package-conventions-001	.claude/rules/r-package-conventions.md	5	value	"**Status:** Decided — applies to all surveyverse packages"	
r-package-conventions-002	.claude/rules/r-package-conventions.md	7	requirement	"This document covers conventions that apply to **all surveyverse R packages**."	
r-package-conventions-003	.claude/rules/r-package-conventions.md	7	mapping	"For package-specific examples and details, see the local conventions file in each package (e.g., `surveywts-conventions.md`)."	surveywts-conventions.md
r-package-conventions-004	.claude/rules/r-package-conventions.md	15	mapping	"Import style | `::` everywhere; no `@importFrom`"	::;@importFrom
r-package-conventions-005	.claude/rules/r-package-conventions.md	16	mapping	"`devtools::document()` | Before committing any file that changes roxygen2 content"	devtools::document();roxygen2
r-package-conventions-006	.claude/rules/r-package-conventions.md	17	mapping	"`devtools::check()` | Before opening a PR"	devtools::check()
r-package-conventions-007	.claude/rules/r-package-conventions.md	18	mapping	"NAMESPACE edits | Never manual — 100% generated by `devtools::document()`"	NAMESPACE;devtools::document()
r-package-conventions-008	.claude/rules/r-package-conventions.md	19	mapping	"`R CMD check` | 0 errors, 0 warnings, ≤2 pre-approved notes"	R CMD check;0 errors;0 warnings;≤2
r-package-conventions-009	.claude/rules/r-package-conventions.md	20	mapping	"Export policy | User-facing functions + S7 classes only (a package that defines no classes exports only functions)"	S7
r-package-conventions-010	.claude/rules/r-package-conventions.md	21	mapping	"Re-exports | None — no pipe, no tidyselect helpers"	
r-package-conventions-011	.claude/rules/r-package-conventions.md	22	mapping	"Function docs (roxygen2) | See `function-documentation.md` in each package"	function-documentation.md;roxygen2
r-package-conventions-012	.claude/rules/r-package-conventions.md	23	mapping	"Version pinning | Minimum versions only (e.g., `cli (>= 3.6.0)`)"	cli (>= 3.6.0)
r-package-conventions-013	.claude/rules/r-package-conventions.md	24	mapping	"Dataset `@format` | Single `\describe{}` block; every column must have `\item{}`"	@format;\describe{};\item{}
r-package-conventions-014	.claude/rules/r-package-conventions.md	30	mapping	"For function-level roxygen2 documentation — titles, descriptions, `@param`, `@returns`, `@details`, named sections, `@references`, `@seealso`, `@examples`, and internal helper docs — see `function-documentation.md` in each package."	@param;@returns;@details;@references;@seealso;@examples;function-documentation.md;roxygen2
r-package-conventions-015	.claude/rules/r-package-conventions.md	38	requirement	"The codoc rule: one `\describe{}` block, all columns"	codoc;\describe{}
r-package-conventions-016	.claude/rules/r-package-conventions.md	40	requirement	"R CMD check's `codoc` tool checks that every column in a bundled data frame has a matching `\item{}` entry in the documentation."	R CMD check;codoc;\item{}
r-package-conventions-017	.claude/rules/r-package-conventions.md	44	requirement	"1. **It only reads the FIRST `\describe{}` block** in the `@format` section. Any additional `\describe{}` blocks (e.g., for a "Benchmark variables" subsection) are silently ignored by `codoc`."	\describe{};@format;codoc
r-package-conventions-018	.claude/rules/r-package-conventions.md	47	requirement	"2. **It requires bidirectional coverage**: every column in the data must be documented, and every documented item must exist in the data."	
