id	verdict	location	evidence
engineering-preferences-001	DELETED		Approved deletion C2 (Version/Created/Status headers) per plans/spec-rules-redesign.md sec 5.3 and sec 13.4: "delete the ... sixteen lines of Version / Created / Status headers across six files." The Status line is gone from .claude/standards/engineering-preferences.md and not present anywhere else in the search surface.
engineering-preferences-002	MOVED	.claude/standards/engineering-preferences.md:3	"**Scope:** These preferences are owned by this repo but intended as guidance for the full surveyverse ecosystem." (wording unchanged, file relocated rules/ -> standards/)
engineering-preferences-003	ALTERED	.claude/standards/engineering-preferences.md:5	was: "copy this file to their own `.claude/rules/`." / now: "copy this file to their own `.claude/standards/`." Path literal changed to track the file's own move to standards/; per hard rule a changed path is ALTERED, not PRESERVED/MOVED.
engineering-preferences-004	MOVED	.claude/standards/engineering-preferences.md:7	"These are meta-principles that govern every implementation decision across all phases."
engineering-preferences-005	MOVED	.claude/standards/engineering-preferences.md:8	"When in doubt about an approach, use this list as the tiebreaker."
engineering-preferences-006	MOVED	.claude/standards/engineering-preferences.md:9	"They are listed in priority order."
engineering-preferences-007	MOVED	.claude/standards/engineering-preferences.md:13	"## 1. DRY — flag repetition aggressively"
engineering-preferences-008	MOVED	.claude/standards/engineering-preferences.md:15	"Duplicated logic is a bug waiting to happen."
engineering-preferences-009	MOVED	.claude/standards/engineering-preferences.md:15-16	"If two functions do the same thing, they should share a helper."
engineering-preferences-010	MOVED	.claude/standards/engineering-preferences.md:16-17	"If two spec sections describe the same behavior, one should reference the other."
engineering-preferences-011	MOVED	.claude/standards/engineering-preferences.md:19	"Repeated patterns in 2+ functions → extract a shared internal helper"
engineering-preferences-012	MOVED	.claude/standards/engineering-preferences.md:20	"Repeated validation logic → consolidate into a single validator"
engineering-preferences-013	MOVED	.claude/standards/engineering-preferences.md:21	"Repeated test setup → move to `helper-*.R`"
engineering-preferences-014	MOVED	.claude/standards/engineering-preferences.md:23	"Do not defer DRY violations as "we can clean this up later.""
engineering-preferences-015	MOVED	.claude/standards/engineering-preferences.md:23-24	"Surface them during spec review, not after the code is written."
engineering-preferences-016	MOVED	.claude/standards/engineering-preferences.md:26	"## 2. Well-tested — more tests is better"
engineering-preferences-017	MOVED	.claude/standards/engineering-preferences.md:28	"Missing test coverage is always a problem."
engineering-preferences-018	MOVED	.claude/standards/engineering-preferences.md:28	"Over-tested code is not."
