id	source_file	source_line	category	verbatim	literals
engineering-preferences-001	.claude/rules/engineering-preferences.md	5	requirement	"**Status:** Decided — applies to all surveyverse packages"	surveyverse
engineering-preferences-002	.claude/rules/engineering-preferences.md	7	requirement	"**Scope:** These preferences are owned by this repo but intended as guidance for the full surveyverse ecosystem."	surveyverse
engineering-preferences-003	.claude/rules/engineering-preferences.md	8	requirement	"If another package adopts them, they should copy this file to their own `.claude/rules/`."	.claude/rules/
engineering-preferences-004	.claude/rules/engineering-preferences.md	11	requirement	"These are meta-principles that govern every implementation decision across all phases."	
engineering-preferences-005	.claude/rules/engineering-preferences.md	12	tiebreaker	"When in doubt about an approach, use this list as the tiebreaker."	
engineering-preferences-006	.claude/rules/engineering-preferences.md	13	tiebreaker	"They are listed in priority order."	
engineering-preferences-007	.claude/rules/engineering-preferences.md	17	requirement	"## 1. DRY — flag repetition aggressively"	DRY
engineering-preferences-008	.claude/rules/engineering-preferences.md	19	requirement	"Duplicated logic is a bug waiting to happen."	
engineering-preferences-009	.claude/rules/engineering-preferences.md	19	requirement	"If two functions do the same thing, they should share a helper."	
engineering-preferences-010	.claude/rules/engineering-preferences.md	20	requirement	"If two spec sections describe the same behavior, one should reference the other."	
engineering-preferences-011	.claude/rules/engineering-preferences.md	23	mapping	"Repeated patterns in 2+ functions → extract a shared internal helper"	2+
engineering-preferences-012	.claude/rules/engineering-preferences.md	24	mapping	"Repeated validation logic → consolidate into a single validator"	
engineering-preferences-013	.claude/rules/engineering-preferences.md	25	mapping	"Repeated test setup → move to `helper-*.R`"	helper-*.R
engineering-preferences-014	.claude/rules/engineering-preferences.md	27	prohibition	"Do not defer DRY violations as "we can clean this up later.""	DRY
engineering-preferences-015	.claude/rules/engineering-preferences.md	27	requirement	"Surface them during spec review, not after the code is written."	
engineering-preferences-016	.claude/rules/engineering-preferences.md	30	tiebreaker	"## 2. Well-tested — more tests is better"	
engineering-preferences-017	.claude/rules/engineering-preferences.md	32	requirement	"Missing test coverage is always a problem."	
engineering-preferences-018	.claude/rules/engineering-preferences.md	32	tiebreaker	"Over-tested code is not."	
engineering-preferences-019	.claude/rules/engineering-preferences.md	34	tiebreaker	"When unsure whether an edge case needs a test, write the test"	
engineering-preferences-020	.claude/rules/engineering-preferences.md	35	prohibition	"Never suggest removing coverage to hit a deadline"	
