id	source_file	source_line	category	verbatim	literals
code-style-001	.claude/rules/code-style.md	5	prohibition	"**Status:** Decided — do not re-litigate without updating this document"	
code-style-002	.claude/rules/code-style.md	13	value	"Indentation | 2 spaces"	2 spaces
code-style-003	.claude/rules/code-style.md	14	value	"Line length | 80 characters"	80
code-style-004	.claude/rules/code-style.md	15	mapping	"Auto-formatter | `air` (Posit's R formatter)"	air
code-style-005	.claude/rules/code-style.md	16	value	"Pipe operator | Native `|>` only"	|>
code-style-006	.claude/rules/code-style.md	17	mapping	"Style guide | tidyverse style (via air)"	air
code-style-007	.claude/rules/code-style.md	18	mapping	"Property access | Direct `@` everywhere on surveycore S7 objects — surveywts defines no accessor generics; the only wrappers are the internal `.get_*()` helpers in `utils.R`"	@;.get_*();utils.R
code-style-008	.claude/rules/code-style.md	19	mapping	"Argument order | `x`/`data` first → required NSE → required scalar → optional NSE → optional scalar → `...`"	x;data;...
code-style-009	.claude/rules/code-style.md	20	mapping	"Internal helper placement | Inline if used in 1 file; shared utils file if used in 2+ files"	1 file;2+ files
code-style-010	.claude/rules/code-style.md	21	mapping	"Dispatch rule | `S7::method()` for extending existing generics; plain function + `S7::S7_inherits()` for everything else — surveywts defines no generics and no classes"	S7::method();S7::S7_inherits()
code-style-011	.claude/rules/code-style.md	22	mapping	"Type check (S7 objects) | `S7::S7_inherits(x, surveycore::survey_taylor)` — fully qualified, never a string"	S7::S7_inherits(x, surveycore::survey_taylor)
code-style-012	.claude/rules/code-style.md	23	mapping	"Accepted input classes | `survey_base` objects only — each family has its own input gate; see §2"	survey_base
code-style-013	.claude/rules/code-style.md	24	mapping	"Print method file | `methods-print.R`; registered via `S7::methods_register()` in `.onLoad()`"	methods-print.R;S7::methods_register();.onLoad()
code-style-014	.claude/rules/code-style.md	25	mapping	"Weighting function returns | Visible (updated object, same class as input)"	
code-style-015	.claude/rules/code-style.md	26	mapping	"Diagnostic function returns | Visible (named scalar or tibble)"	
code-style-016	.claude/rules/code-style.md	27	mapping	"Print/summary methods | `invisible(x)`"	invisible(x)
code-style-017	.claude/rules/code-style.md	28	mapping	"Validators (internal) | `invisible(TRUE)` on success"	invisible(TRUE)
code-style-018	.claude/rules/code-style.md	29	mapping	"Error structure | `"x"` + `"i"` + optional `"v"` bullets; `class=` on every `cli_abort()`"	"x";"i";"v";class=;cli_abort()
code-style-019	.claude/rules/code-style.md	30	mapping	"Warning classes | `class=` on every `cli_warn()` too"	class=;cli_warn()
code-style-020	.claude/rules/code-style.md	31	mapping	"Message language | Declarative for `"x"`/`"i"` bullets; imperative for `"v"` bullet"	"x";"i";"v"
code-style-021	.claude/rules/code-style.md	32	mapping	"Import style | `::` everywhere; no `@importFrom` in any source file"	::;@importFrom
code-style-022	.claude/rules/code-style.md	33	mapping	"NAMESPACE edits | Never manual — 100% generated by `devtools::document()`"	NAMESPACE;devtools::document()
code-style-023	.claude/rules/code-style.md	34	value	"`R CMD check` | 0 errors, 0 warnings, ≤2 pre-approved notes"	R CMD check;0 errors;0 warnings;2
code-style-024	.claude/rules/code-style.md	41	value	"**2 spaces** per indent level."	2 spaces
code-style-025	.claude/rules/code-style.md	41	prohibition	"No tabs."	
code-style-026	.claude/rules/code-style.md	44	requirement	"# Correct .check_input_class <- function(data) { if (!S7::S7_inherits(data, surveycore::survey_base)) { cli::cli_abort( c("x" = "{.arg data} must be a survey object."), class = "surveywts_error_not_survey_base" ) } invisible(TRUE) }"	.check_input_class;S7::S7_inherits;surveycore::survey_base;surveywts_error_not_survey_base;invisible(TRUE)
code-style-027	.claude/rules/code-style.md	55	prohibition	"# Wrong .check_input_class <- function(data) { if (!S7::S7_inherits(data, surveycore::survey_base)) {   # 4-space indent"	4-space indent
code-style-028	.claude/rules/code-style.md	62	value	"**80 characters** maximum. Enforced by `air`."	80;air
code-style-029	.claude/rules/code-style.md	64	requirement	"For long function signatures, break after the opening `(` and align arguments:"	
code-style-030	.claude/rules/code-style.md	66	requirement	"# Good — break after ( as_survey <- function( data, ids = NULL, probs = NULL, weights = NULL, strata = NULL, fpc = NULL, nest = FALSE ) {"	as_survey;ids = NULL;probs = NULL;weights = NULL;strata = NULL;fpc = NULL;nest = FALSE
code-style-031	.claude/rules/code-style.md	77	tiebreaker	"# Also good for short signatures — keep on one line if under 80 chars set_var_label <- function(x, var, label) {"	80;set_var_label
code-style-032	.claude/rules/code-style.md	81	value	"**`@examples` blocks:** `air` does not format roxygen2 comments."	@examples;air;roxygen2
code-style-033	.claude/rules/code-style.md	82	requirement	"Wrap function calls manually when the `#' result <- fn(...)` line exceeds 80 characters — break after the opening `(`, one argument per line, closing `)` on its own line"	80
code-style-034	.claude/rules/code-style.md	86	requirement	"# Good — call fits on one line #' result <- ipw(nps, ref, selection = ~age + sex)"	ipw;selection = ~age + sex
code-style-035	.claude/rules/code-style.md	89	requirement	"# Good — call is too long; break after ( #' result <- ipw( #'   npors_2025_ipw, #'   acs_ipw_ref, #'   selection = ~gender + age_group + race_ethn + educ, #'   missing_method = "omit" #' )"	ipw;npors_2025_ipw;acs_ipw_ref;missing_method = "omit"
code-style-036	.claude/rules/code-style.md	98	requirement	"For long `cli_abort()` calls, break the named vector across lines:"	cli_abort()
code-style-037	.claude/rules/code-style.md	100	requirement	"cli::cli_abort( c( "x" = "Weight column {.field {weights_var}} must be numeric.", "i" = "Got class {.cls {class(wt_col)}}.", "v" = "Use {.code as.numeric({.field {weights_var}})} to convert." ), class = "surveywts_error_weights_not_numeric" )"	cli::cli_abort;{.field};{.cls};{.code};surveywts_error_weights_not_numeric
code-style-038	.claude/rules/code-style.md	111	requirement	"Use **`air`** (Posit's R formatter) for all formatting."	air
code-style-039	.claude/rules/code-style.md	111	requirement	"Run on save or before committing."	
code-style-040	.claude/rules/code-style.md	114	procedure	"# Install pak::pak("posit-dev/air")"	pak::pak("posit-dev/air")
code-style-041	.claude/rules/code-style.md	118	prohibition	"Do not manually adjust spacing after running `air`."	air
code-style-042	.claude/rules/code-style.md	118	tiebreaker	"If `air` output looks wrong, there's a syntax problem — don't work around it."	air
code-style-043	.claude/rules/code-style.md	121	requirement	"**Native `|>` only.**"	|>
code-style-044	.claude/rules/code-style.md	121	prohibition	"`%>%` is never used."	%>%
code-style-045	.claude/rules/code-style.md	124	requirement	"# Correct survey_obj |> set_var_label(age, "Age in years") |> set_var_label(income, "Annual income")"	|>;set_var_label
code-style-046	.claude/rules/code-style.md	129	prohibition	"# Wrong survey_obj %>% set_var_label(age, "Age in years")"	%>%
code-style-047	.claude/rules/code-style.md	135	requirement	"**`<-`** for all assignments."	<-
code-style-048	.claude/rules/code-style.md	135	requirement	"`=` is reserved for function arguments only."	=
code-style-049	.claude/rules/code-style.md	138	requirement	"# Correct weights_var <- names(weights_cols) design <- survey_taylor(data = data, variables = variables)"	<-;survey_taylor
code-style-050	.claude/rules/code-style.md	142	prohibition	"# Wrong weights_var = names(weights_cols)"	weights_var = names(weights_cols)
