id	verdict	location	evidence
github-strategy-001	MOVED	.claude/standards/github-strategy.md:3	"Applies to the surveywts package. Adapted from the surveycore version."
github-strategy-002	MOVED	.claude/standards/github-strategy.md:4	"Read on-demand when creating PRs or setting up CI — not auto-loaded."
github-strategy-003	DELETED		Approved deletion C2 (Version/Created/Status headers), plans/spec-rules-redesign.md §13.4
github-strategy-004	DELETED		Approved deletion C2 (Version/Created/Status headers), plans/spec-rules-redesign.md §13.4
github-strategy-005	DEDUPED	.claude/standards/github-strategy.md:37-44	Quick Reference row dropped, but same file's Branching Model diagram states it: "main ← always stable... / develop ← integration branch; all feature work lands here first / feature/* ← individual units of work; branch from develop / hotfix/* ← urgent fixes only; branch from main"
github-strategy-006	PRESERVED	.claude/rules/core.md:51-52	"Branch naming: `feature/`, `fix/`, `hotfix/`, `test/`, `docs/`, `chore/`, `refactor/`."
github-strategy-007	MOVED	.claude/standards/github-strategy.md:12	"| Merge strategy | Squash for feature PRs; merge commit for release PRs |"
github-strategy-008	PRESERVED	.claude/rules/core.md:53	"All commits use Conventional Commits format: `feat(scope): description`."
github-strategy-009	MOVED	.claude/standards/github-strategy.md:13	"| PR granularity | One PR per logical unit of work |"
github-strategy-010	MOVED	.claude/standards/github-strategy.md:14	"| Versioning | `X.Y.Z.9000` on `develop`; `X.Y.Z` on `main` after release |"
github-strategy-011	MOVED	.claude/standards/github-strategy.md:15	"| CI | R-CMD-check required on `main` and `develop`; all PRs |"
github-strategy-012	MOVED	.claude/standards/github-strategy.md:16	"| Release workflow | Use `/merge-main` |"
github-strategy-013	MOVED	.claude/standards/github-strategy.md:24	"Choose the tier based on change size."
github-strategy-014	MOVED	.claude/standards/github-strategy.md:24	"When in doubt, go one tier higher."
github-strategy-015	MOVED	.claude/standards/github-strategy.md:28	"**1 — Full** | ... | spec → implementation plan → `/r-implement` → `/commit-and-pr`"
github-strategy-016	MOVED	.claude/standards/github-strategy.md:29	"**2 — Plan only** | ... | implementation plan → `/r-implement` → `/commit-and-pr`"
github-strategy-017	MOVED	.claude/standards/github-strategy.md:30	"**3 — Direct** | ... | branch → `/r-implement` → `/commit-and-pr`"
