id	verdict	location	evidence
surveywts-conventions-001	MOVED	.claude/standards/surveywts-conventions.md:3	This document extends the **generic R package conventions** (`r-package-conventions.md`) with surveywts-specific examples and detailed guidance.
surveywts-conventions-002	MOVED	.claude/standards/surveywts-conventions.md:6	**Read `r-package-conventions.md` first, then this document.**
surveywts-conventions-003	MOVED	.claude/standards/surveywts-conventions.md:14	Error prefix | `surveywts_error_*` | `surveywts_error_weights_nonpositive`
surveywts-conventions-004	MOVED	.claude/standards/surveywts-conventions.md:15	Warning prefix | `surveywts_warning_*` | `surveywts_warning_no_weights_trimmed`
surveywts-conventions-005	MOVED	.claude/standards/surveywts-conventions.md:16	Internal constructor return | Visible (the new object) | `.make_history_entry()`
surveywts-conventions-006	MOVED	.claude/standards/surveywts-conventions.md:17	Internal validator return | `invisible(TRUE)` on success | `.validate_weights()`
surveywts-conventions-007	MOVED	.claude/standards/surveywts-conventions.md:18	Print method return | `invisible(x)` | `S7::method(print, surveycore::survey_nonprob)`, `S7::method(print, surveycore::survey_replicate)`
surveywts-conventions-008	MOVED	.claude/standards/surveywts-conventions.md:19	Diagnostic function return | Visible named scalar or tibble | `effective_sample_size()`
surveywts-conventions-009	MOVED	.claude/standards/surveywts-conventions.md:27	User-facing calibration functions | verb | `calibrate()`, `calibrate_rake()`, `poststratify()`
surveywts-conventions-010	MOVED	.claude/standards/surveywts-conventions.md:28	User-facing nonresponse function | verb + noun | `adjust_nonresponse()`
surveywts-conventions-011	MOVED	.claude/standards/surveywts-conventions.md:29	User-facing diagnostic functions | noun phrase | `effective_sample_size()`, `weight_variability()`, `summarize_weights()`
surveywts-conventions-012	MOVED	.claude/standards/surveywts-conventions.md:30	Internal validators | `.validate_` prefix | `.validate_weights()`, `.validate_calibration_variables()`
surveywts-conventions-013	MOVED	.claude/standards/surveywts-conventions.md:31	Internal shared helpers | `.` prefix + descriptive name | `.get_weight_vec()`, `.compute_weight_stats()`, `.make_history_entry()`
surveywts-conventions-014	MOVED	.claude/standards/surveywts-conventions.md:32	Internal single-file helpers | `.` prefix + descriptive name | `.parse_margins()`, `.validate_population_cells()`
surveywts-conventions-015	MOVED	.claude/standards/surveywts-conventions.md:33	Internal dispatch/engine functions | `.` prefix + `_engine` suffix | `.calibrate_nr_engine()`, `.anesrake_engine()`
surveywts-conventions-016	MOVED	.claude/standards/surveywts-conventions.md:34	Internal output constructors | `.make_` prefix | `.make_history_entry()`, `.make_calfun_linear()`
surveywts-conventions-017	MOVED	.claude/standards/surveywts-conventions.md:42	`calibration` | `calibrate()`, `calibrate_linear()`, `calibrate_logit()`, `calibrate_rake()`, `poststratify()`
surveywts-conventions-018	MOVED	.claude/standards/surveywts-conventions.md:43	`sample-calibration` | `calibrate_to_survey()`, `calibrate_to_estimate()`
surveywts-conventions-019	MOVED	.claude/standards/surveywts-conventions.md:44	`nonresponse` | `adjust_nonresponse()`, `redistribute_weights()`
surveywts-conventions-020	MOVED	.claude/standards/surveywts-conventions.md:45	`diagnostics` | `effective_sample_size()`, `weight_variability()`, `summarize_weights()`
surveywts-conventions-021	MOVED	.claude/standards/surveywts-conventions.md:46	`replicate-weights` | `create_bootstrap_weights()`, `create_jackknife_weights()`, `create_brr_weights()`, `create_gen_boot_weights()`, `create_gen_rep_weights()`, `create_sdr_weights()`, `create_re...
surveywts-conventions-022	MOVED	.claude/standards/surveywts-conventions.md:47	`utilities` | `trim_weights()`, `rescale_weights()`
surveywts-conventions-023	MOVED	.claude/standards/surveywts-conventions.md:48	`propensity` | `ipw()`
surveywts-conventions-024	MOVED	.claude/standards/surveywts-conventions.md:50	Use `@family calibration`, `@family sample-calibration`, `@family nonresponse`, `@family diagnostics`, `@family replicate-weights`, `@family utilities`, `@family propensity` in roxygen2.
surveywts-conventions-025	MOVED	.claude/standards/surveywts-conventions.md:57	Every exported function lives in a `.R` file named identically to it (matching its `.Rd` filename without the extension).
surveywts-conventions-026	MOVED	.claude/standards/surveywts-conventions.md:58	The exported function appears at the **top** of its file; helpers used only by that function appear **below** it.
surveywts-conventions-027	MOVED	.claude/standards/surveywts-conventions.md:59	Helpers shared by 2+ functions in the same family go to `{family}-utils.R`.
surveywts-conventions-028	MOVED	.claude/standards/surveywts-conventions.md:60	Helpers used across different families stay in `utils.R`.
surveywts-conventions-029	MOVED	.claude/standards/surveywts-conventions.md:61	Structural/role-based files are exempt from rule 1.
surveywts-conventions-030	MOVED	.claude/standards/surveywts-conventions.md:67	`utils.R` | Cross-family internal helpers
surveywts-conventions-031	MOVED	.claude/standards/surveywts-conventions.md:68	`methods-print.R` | All print methods - two `S7::method(print, ...)` registrations for surveycore classes
surveywts-conventions-032	MOVED	.claude/standards/surveywts-conventions.md:69	`zzz.R` | `.onLoad()` / `.onAttach()` hooks
surveywts-conventions-033	MOVED	.claude/standards/surveywts-conventions.md:70	`data.R` | `@docType data` documentation stubs
surveywts-conventions-034	MOVED	.claude/standards/surveywts-conventions.md:71	`surveywts-package.R` | Package-level documentation
surveywts-conventions-035	MOVED	.claude/standards/surveywts-conventions.md:77	`diagnostics-utils.R` | `effective_sample_size()`, `weight_variability()`, `summarize_weights()`
surveywts-conventions-036	MOVED	.claude/standards/surveywts-conventions.md:78	`nonresponse-utils.R` | `adjust_nonresponse()`, `redistribute_weights()`
surveywts-conventions-037	MOVED	.claude/standards/surveywts-conventions.md:79	`replicate-utils.R` | All `create_*_weights()` functions + `as_taylor_design()`
surveywts-conventions-038	MOVED	.claude/standards/surveywts-conventions.md:80	`jackknife-dagjk-utils.R` | DAGJK engine internals for `create_jackknife_weights()`
surveywts-conventions-039	MOVED	.claude/standards/surveywts-conventions.md:81	`weight-utils.R` | `trim_weights()`, `rescale_weights()`
surveywts-conventions-040	MOVED	.claude/standards/surveywts-conventions.md:82	`calibrate-utils.R` | `calibrate()`, `calibrate_linear()`, `calibrate_logit()`, `calibrate_rake()`
surveywts-conventions-041	MOVED	.claude/standards/surveywts-conventions.md:88	`adjust_nonresponse.R` | `adjust_nonresponse()`
surveywts-conventions-042	MOVED	.claude/standards/surveywts-conventions.md:89	`as_taylor_design.R` | `as_taylor_design()`
surveywts-conventions-043	MOVED	.claude/standards/surveywts-conventions.md:90	`calibrate.R` | `calibrate()` - thin dispatcher
surveywts-conventions-044	MOVED	.claude/standards/surveywts-conventions.md:91	`calibrate-utils.R` | (internal helpers - not exported)
surveywts-conventions-045	MOVED	.claude/standards/surveywts-conventions.md:92	`calibrate_linear.R` | `calibrate_linear()`
surveywts-conventions-046	MOVED	.claude/standards/surveywts-conventions.md:93	`calibrate_logit.R` | `calibrate_logit()`
surveywts-conventions-047	MOVED	.claude/standards/surveywts-conventions.md:94	`calibrate_rake.R` | `calibrate_rake()`
surveywts-conventions-048	MOVED	.claude/standards/surveywts-conventions.md:95	`poststratify.R` | `poststratify()`
surveywts-conventions-049	MOVED	.claude/standards/surveywts-conventions.md:96	`calibrate_to_estimate.R` | `calibrate_to_estimate()`
surveywts-conventions-050	MOVED	.claude/standards/surveywts-conventions.md:97	`calibrate_to_survey.R` | `calibrate_to_survey()`
surveywts-conventions-051	MOVED	.claude/standards/surveywts-conventions.md:98	`create_bootstrap_weights.R` | `create_bootstrap_weights()`
surveywts-conventions-052	MOVED	.claude/standards/surveywts-conventions.md:99	`create_brr_weights.R` | `create_brr_weights()`
surveywts-conventions-053	MOVED	.claude/standards/surveywts-conventions.md:100	`create_gen_boot_weights.R` | `create_gen_boot_weights()`
surveywts-conventions-054	MOVED	.claude/standards/surveywts-conventions.md:101	`create_gen_rep_weights.R` | `create_gen_rep_weights()`
surveywts-conventions-055	MOVED	.claude/standards/surveywts-conventions.md:102	`create_jackknife_weights.R` | `create_jackknife_weights()`
surveywts-conventions-056	MOVED	.claude/standards/surveywts-conventions.md:103	`jackknife-dagjk-utils.R` | DAGJK engine internals (internal helpers only)
surveywts-conventions-057	MOVED	.claude/standards/surveywts-conventions.md:104	`create_replicate_weights.R` | `create_replicate_weights()`
surveywts-conventions-058	MOVED	.claude/standards/surveywts-conventions.md:105	`create_sdr_weights.R` | `create_sdr_weights()`
surveywts-conventions-059	MOVED	.claude/standards/surveywts-conventions.md:106	`effective_sample_size.R` | `effective_sample_size()`
surveywts-conventions-060	MOVED	.claude/standards/surveywts-conventions.md:107	`ipw.R` | `ipw()`
surveywts-conventions-061	MOVED	.claude/standards/surveywts-conventions.md:108	`redistribute_weights.R` | `redistribute_weights()`
surveywts-conventions-062	MOVED	.claude/standards/surveywts-conventions.md:109	`rescale_weights.R` | `rescale_weights()`
surveywts-conventions-063	MOVED	.claude/standards/surveywts-conventions.md:110	`summarize_weights.R` | `summarize_weights()`
surveywts-conventions-064	MOVED	.claude/standards/surveywts-conventions.md:111	`trim_weights.R` | `trim_weights()`
surveywts-conventions-065	MOVED	.claude/standards/surveywts-conventions.md:112	`weight_variability.R` | `weight_variability()`
surveywts-conventions-066	MOVED	.claude/standards/surveywts-conventions.md:120	was: Calibration / nonresponse functions | Visible (new object) / now: Calibration / nonresponse functions | Visible (updated object, same class as input) -- wording enriched (clarifies the same-class guarantee already stated elsewhere, e.g. code-style.md), not contradicted; borderline vs ALTERED, chose MOVED because no behavioral claim was reversed or narrowed.
surveywts-conventions-067	MOVED	.claude/standards/surveywts-conventions.md:123	Diagnostic functions | Visible (named scalar or tibble)
surveywts-conventions-068	MOVED	.claude/standards/surveywts-conventions.md:124	Internal constructors (`.make_*()`) | Visible (the new object)
surveywts-conventions-069	MOVED	.claude/standards/surveywts-conventions.md:125	Print / summary methods | `invisible(x)`
surveywts-conventions-070	MOVED	.claude/standards/surveywts-conventions.md:126	Internal validators (`.validate_*()`) | `invisible(TRUE)` on success
surveywts-conventions-071	MOVED	.claude/standards/surveywts-conventions.md:133	User-facing functions only. `NAMESPACE` holds 23 `export()` entries and nothing else: `calibrate()`, `calibrate_linear()`, `calibrate_logit()`, `calibrate_rake()`, `poststratify()`, `calibrate_to_s...
surveywts-conventions-072	MOVED	.claude/standards/surveywts-conventions.md:145	All `.`-prefixed internal helpers (`.validate_weights()`, `.make_history_entry()`, `.check_input_class()`, etc.)
surveywts-conventions-073	MOVED	.claude/standards/surveywts-conventions.md:147	No classes. surveywts defines none - see 6
surveywts-conventions-074	MOVED	.claude/standards/surveywts-conventions.md:148	No S3 methods. `NAMESPACE` holds zero `S3method()` directives
surveywts-conventions-075	DEDUPED	.claude/standards/r-package-conventions.md:142	surviving text: Do not re-export the pipe, tidyselect helpers, or other utility functions. Users who need them have tidyverse/rlang loaded. (section header at r-package-conventions.md:140, No re-exports). Removed verbatim from surveywts-conventions.md What NOT to export list; identical rule now stated once in the generic conventions file this document already said to read first.
surveywts-conventions-076	MOVED	.claude/standards/surveywts-conventions.md:154	**surveywts defines no classes.** There is no `S7::new_class()` call anywhere in `R/`, and `NAMESPACE` exports no class object.
surveywts-conventions-077	MOVED	.claude/standards/surveywts-conventions.md:156	Every survey class surveywts works with - `survey_base`, `survey_taylor`, `survey_nonprob`, `survey_replicate` - is defined and exported by **surveycore**, in `surveycore/R/core-classes.R`. surveyw...
surveywts-conventions-078	MOVED	.claude/standards/surveywts-conventions.md:160	What surveywts does own, on the S7 side, is two print methods:
surveywts-conventions-079	MOVED	.claude/standards/surveywts-conventions.md:163	# R/methods-print.R - registered by S7::methods_register() in .onLoad()
surveywts-conventions-080	MOVED	.claude/standards/surveywts-conventions.md:164	S7::method(print, surveycore::survey_nonprob)   <- function(x, n = 10, ...) { }
surveywts-conventions-081	MOVED	.claude/standards/surveywts-conventions.md:165	S7::method(print, surveycore::survey_replicate) <- function(x, ...) { }
surveywts-conventions-082	MOVED	.claude/standards/surveywts-conventions.md:170	Parent is `survey_base`. It does NOT extend `survey_taylor`, which avoids inheriting Taylor-specific dispatch that would be incorrect post-calibration
surveywts-conventions-083	MOVED	.claude/standards/surveywts-conventions.md:172	Inherits five properties from `survey_base`: `@data`, `@metadata`, `@variables`, `@groups`, `@call`
surveywts-conventions-084	MOVED	.claude/standards/surveywts-conventions.md:174	Adds two of its own: `@calibration` (calibration provenance written by surveywts, `NULL` otherwise) and `@reference_sample` (an optional `survey_taylor` used for propensity estimation)
surveywts-conventions-085	MOVED	.claude/standards/surveywts-conventions.md:177	`@variables$weights` - character scalar: the name of the weight column in `@data`
surveywts-conventions-086	MOVED	.claude/standards/surveywts-conventions.md:178	Weighting history is stored in `@metadata@weighting_history` (list of history entries)
surveywts-conventions-087	MOVED	.claude/standards/surveywts-conventions.md:180	**The surveycore validator enforces four conditions**, and its error classes are `surveycore_error_*`, not `surveywts_error_*`:
surveywts-conventions-088	MOVED	.claude/standards/surveywts-conventions.md:183	The column named by `@variables$weights` exists in `@data` - `surveycore_error_design_var_missing`
surveywts-conventions-089	MOVED	.claude/standards/surveywts-conventions.md:185	That column is numeric - `surveycore_error_weights_not_numeric`
surveywts-conventions-090	MOVED	.claude/standards/surveywts-conventions.md:186	It has at least one non-NA value, and at least one value greater than 0 - `surveycore_error_weights_all_zero`
surveywts-conventions-091	MOVED	.claude/standards/surveywts-conventions.md:188	No non-NA value is negative - `surveycore_error_weights_negative`
surveywts-conventions-092	MOVED	.claude/standards/surveywts-conventions.md:190	Note what the validator does **not** enforce: NAs are permitted, and zeroes are permitted, as long as one positive weight remains.
surveywts-conventions-093	MOVED	.claude/standards/surveywts-conventions.md:191	Strictly-positive, fully-observed weights are a surveywts precondition, not a class invariant.
surveywts-conventions-094	MOVED	.claude/standards/surveywts-conventions.md:192	`.validate_weights()` in `utils.R` is what enforces it, throwing `surveywts_error_weights_nonpositive` and `surveywts_error_weights_na`.
surveywts-conventions-095	MOVED	.claude/standards/surveywts-conventions.md:196	Test surveycore validator errors with `class =` only - no snapshot (messages are not CLI-formatted, and surveywts does not own the text).
surveywts-conventions-096	MOVED	.claude/standards/surveywts-conventions.md:205	`calibrate()` | `data, targets, weights = NULL, wt_name = NULL, type = c("prop", "count"), reference_design = NULL, ..., method = c("rake", "linear", "logit")`
