id	source_file	source_line	category	verbatim	literals
function-documentation-001	.claude/rules/function-documentation.md	5	requirement	"**Status:** Decided — applies to all exported functions in surveywts"	surveywts
function-documentation-002	.claude/rules/function-documentation.md	7	requirement	"This document defines how every exported function in surveywts must be documented."	surveywts
function-documentation-003	.claude/rules/function-documentation.md	8	requirement	"It is the authoritative reference for documentation audits and new function implementations."	
function-documentation-004	.claude/rules/function-documentation.md	12	mapping	"`r-package-conventions.md` — codoc requirements for datasets, NAMESPACE, export policy"	r-package-conventions.md;codoc;NAMESPACE
function-documentation-005	.claude/rules/function-documentation.md	13	mapping	"`code-style.md` — `cli_abort()` / `cli_warn()` structure, S7 patterns"	code-style.md;cli_abort();cli_warn();S7
function-documentation-006	.claude/rules/function-documentation.md	14	mapping	"`surveywts-conventions.md` — `@family` tags, file organization, argument order"	surveywts-conventions.md;@family
function-documentation-007	.claude/rules/function-documentation.md	20	requirement	"These rules apply to every exported function, regardless of tier."	
function-documentation-008	.claude/rules/function-documentation.md	24	requirement	"Write as an active verb phrase in the present tense: "Clip weights to a range", not "Clipping of weights" or "Weight clipping""	Clip weights to a range;Clipping of weights;Weight clipping
function-documentation-009	.claude/rules/function-documentation.md	26	prohibition	"Do not repeat the function name's verb"	
function-documentation-010	.claude/rules/function-documentation.md	26	requirement	"use a synonym to give a second angle on intent (`ipw()` → "Estimate inverse probability weights", not "Compute IPW weights")"	ipw();Estimate inverse probability weights;Compute IPW weights
function-documentation-011	.claude/rules/function-documentation.md	29	prohibition	"Drop "survey weights" from the title — it is implicit from package context and wastes space"	survey weights
function-documentation-012	.claude/rules/function-documentation.md	31	requirement	"Describe what is unique about this function versus its siblings in the same family"	
function-documentation-013	.claude/rules/function-documentation.md	32	prohibition	"if two functions share a title, one of them is wrong"	
function-documentation-014	.claude/rules/function-documentation.md	33	requirement	"Must be informative when skimming the pkgdown reference index in isolation"	pkgdown
function-documentation-015	.claude/rules/function-documentation.md	37	requirement	"Must add information the title does not contain"	
function-documentation-016	.claude/rules/function-documentation.md	37	prohibition	"do not restate the title in prose"	
function-documentation-017	.claude/rules/function-documentation.md	39	mapping	"Title = high-level summary; description = mechanism, key nuance, or an important behavioral constraint"	
function-documentation-018	.claude/rules/function-documentation.md	41	prohibition	"No formulas in `@description`"	@description
function-documentation-019	.claude/rules/function-documentation.md	41	mapping	"formulas belong in the Algorithm section"	Algorithm
function-documentation-020	.claude/rules/function-documentation.md	42	value	"Keep to 1–3 sentences"	1–3
function-documentation-021	.claude/rules/function-documentation.md	42	mapping	"longer explanatory content belongs in `@details` or named `@section` blocks"	@details;@section
function-documentation-022	.claude/rules/function-documentation.md	47	requirement	"**Type annotation.** Lead every `@param` with a type annotation"	@param
function-documentation-023	.claude/rules/function-documentation.md	50	value	"#' @param data A `survey_taylor`, `survey_nonprob`, or `survey_replicate`."	@param;survey_taylor;survey_nonprob;survey_replicate
function-documentation-024	.claude/rules/function-documentation.md	53	requirement	"**Defaults.** State the default first"	
function-documentation-025	.claude/rules/function-documentation.md	53	requirement	"explicitly call it the default"	
function-documentation-026	.claude/rules/function-documentation.md	56	value	"#' @param method `"logit"` (the default), `"probit"`, or `"cloglog"`."	@param;method;logit;probit;cloglog
function-documentation-027	.claude/rules/function-documentation.md	61	requirement	"Inline if each option fits a single-phrase description (as in the `method` example above)"	method
function-documentation-028	.claude/rules/function-documentation.md	63	requirement	"Bullet list or fenced code block if any option requires its own sentence or sub-structure"	
function-documentation-029	.claude/rules/function-documentation.md	66	requirement	"**Content rule.** `@param` describes the effect of the argument on behavior or output"	@param
function-documentation-030	.claude/rules/function-documentation.md	66	prohibition	"`@param` describes the effect of the argument on behavior or output — not the internal mechanism"	@param
function-documentation-031	.claude/rules/function-documentation.md	67	mapping	"Mechanism content belongs in `@details` or named `@section` blocks."	@details;@section
function-documentation-032	.claude/rules/function-documentation.md	70	requirement	"**`@param data` specifically.** Lead with the accepted classes."	@param data
function-documentation-033	.claude/rules/function-documentation.md	70	requirement	"When class-specific behavior routes to another section, include a forward reference rather than an inline description"	
function-documentation-034	.claude/rules/function-documentation.md	75	value	"#' @param data A `survey_taylor`, `survey_nonprob`, or `survey_replicate`. For inputs containing replicate weight columns, see the **Replicate Weights** section."	@param;survey_taylor;survey_nonprob;survey_replicate;Replicate Weights
function-documentation-035	.claude/rules/function-documentation.md	80	requirement	"Name the classes the function actually accepts"	
function-documentation-036	.claude/rules/function-documentation.md	80	requirement	"say what happens to the rest"	
function-documentation-037	.claude/rules/function-documentation.md	81	prohibition	"Every weighting function rejects a plain `data.frame`, so the accepted list never includes one"	data.frame
function-documentation-038	.claude/rules/function-documentation.md	85	value	"#' @param data A `survey_taylor` or `survey_nonprob`. Must include BOTH respondents and nonrespondents. `survey_replicate` -> error. Any other class -> error."	@param;survey_taylor;survey_nonprob;survey_replicate
function-documentation-039	.claude/rules/function-documentation.md	90	requirement	"**`@inheritParams`.** Use only when the argument is genuinely identical in behavior across the inheriting and source functions."	@inheritParams
function-documentation-040	.claude/rules/function-documentation.md	91	prohibition	"genuinely identical in behavior — not just in name"	@inheritParams
function-documentation-041	.claude/rules/function-documentation.md	91	requirement	"Always place a code comment above the tag identifying the source"	@inheritParams
function-documentation-042	.claude/rules/function-documentation.md	95	value	"# x and weights are identical in behavior to effective_sample_size() #' @inheritParams effective_sample_size"	@inheritParams;effective_sample_size
function-documentation-043	.claude/rules/function-documentation.md	101	requirement	"Use `@returns` on every exported function."	@returns
function-documentation-044	.claude/rules/function-documentation.md	101	prohibition	"Use `@returns` (not `@return`)"	@returns;@return
function-documentation-045	.claude/rules/function-documentation.md	103	requirement	"Describe the output's **shape** (class, class-preservation rule) and **behavioral guarantees** (properties that hold on the output)"	
function-documentation-046	.claude/rules/function-documentation.md	105	requirement	"Enumerate by input class only when behavior meaningfully differs across classes"	
function-documentation-047	.claude/rules/function-documentation.md	106	requirement	"if every class produces the same output class with the same properties, a single-sentence description is correct"	
function-documentation-048	.claude/rules/function-documentation.md	107	prohibition	"do not enumerate for its own sake"	
function-documentation-049	.claude/rules/function-documentation.md	109	mapping	"**Class-specific routing:** output differences (what the returned object contains or how it differs from the input) belong here [in `@returns`]"	@returns
function-documentation-050	.claude/rules/function-documentation.md	110	mapping	"algorithm differences belong in the Algorithm section"	Algorithm
function-documentation-051	.claude/rules/function-documentation.md	111	mapping	"replicate-weight-scope differences belong in the Replicate Weights section"	Replicate Weights
function-documentation-052	.claude/rules/function-documentation.md	113	requirement	"When the input may contain replicate weight columns, document that all replicate weight columns are updated by the same method"	
function-documentation-053	.claude/rules/function-documentation.md	117	value	"#' @returns A `survey_nonprob` with updated weights. If the input contains replicate weight columns, all replicate weight columns are updated by the same method."	@returns;survey_nonprob
function-documentation-054	.claude/rules/function-documentation.md	122	prohibition	"Do not define package-level concepts (e.g., weighting history) inside `@returns` — reference them with standard phrasing"	@returns
function-documentation-055	.claude/rules/function-documentation.md	123	requirement	"reference them [package-level concepts] with standard phrasing"	@returns
function-documentation-056	.claude/rules/function-documentation.md	124	value	"**Standard phrasing for weighting history entries:** "A new entry with `operation = "fn_name"` is appended to the weighting history.""	operation = "fn_name";A new entry with;is appended to the weighting history
function-documentation-057	.claude/rules/function-documentation.md	125	requirement	"Quote the string the function actually writes, which is usually the function name but not always"	
function-documentation-058	.claude/rules/function-documentation.md	127	mapping	"`adjust_nonresponse()` writes `"nonresponse_weighting_class"`, `"nonresponse_propensity"`, or `"nonresponse_propensity_cell"` depending on `method`"	adjust_nonresponse();nonresponse_weighting_class;nonresponse_propensity;nonresponse_propensity_cell;method
function-documentation-059	.claude/rules/function-documentation.md	129	mapping	"the `create_*_weights()` functions write `"bootstrap_weights"`, `"jackknife_weights"`, or `"replicate_creation"`"	create_*_weights();bootstrap_weights;jackknife_weights;replicate_creation
function-documentation-060	.claude/rules/function-documentation.md	135	requirement	"Use [`@details`] for content that cannot be captured in `@description`"	@details;@description
function-documentation-061	.claude/rules/function-documentation.md	136	mapping	"Formulas go in `@details` (specifically in the Algorithm section)"	@details;Algorithm
function-documentation-062	.claude/rules/function-documentation.md	136	prohibition	"[Formulas go] never in `@description`"	@description
function-documentation-063	.claude/rules/function-documentation.md	138	mapping	"Mechanism and algorithm logic go in `@details`"	@details
function-documentation-064	.claude/rules/function-documentation.md	138	prohibition	"Mechanism and algorithm logic go in `@details`, not in `@param`"	@details;@param
function-documentation-065	.claude/rules/function-documentation.md	139	requirement	"Whether `@details` is required depends on tier (see tier-specific rules below)"	@details
function-documentation-066	.claude/rules/function-documentation.md	143	requirement	"Use the six canonical sections below when applicable"	six
function-documentation-067	.claude/rules/function-documentation.md	143	requirement	"[Use the six canonical sections] in this canonical order"	
function-documentation-068	.claude/rules/function-documentation.md	143	requirement	"Custom sections are permitted when content is genuinely distinct from all six canonical sections — this list is not exhaustive."	six
function-documentation-069	.claude/rules/function-documentation.md	145	value	"Example: a function that exposes weighting history structure might warrant a "Weighting History" section."	Weighting History
function-documentation-070	.claude/rules/function-documentation.md	148	value	"**Format:** `@section Section Name:` for top-level sections"	@section Section Name:
function-documentation-071	.claude/rules/function-documentation.md	148	value	"`**Bold text**` for sub-sections within a section"	**Bold text**
function-documentation-072	.claude/rules/function-documentation.md	149	prohibition	"roxygen2 does not support nested `@section`"	roxygen2;@section
function-documentation-073	.claude/rules/function-documentation.md	151	mapping	"1. **Algorithm** — statistical algorithm(s), formulas, mathematical details."	Algorithm
function-documentation-074	.claude/rules/function-documentation.md	152	requirement	"For multi-algorithm functions, use `**Bold sub-headers**` per algorithm within the same section."	**Bold sub-headers**
function-documentation-075	.claude/rules/function-documentation.md	155	mapping	"2. **Convergence** — convergence criterion, tolerance parameters, and what happens when the algorithm fails to converge (error vs. warning, what is returned or not returned)."	Convergence
function-documentation-076	.claude/rules/function-documentation.md	159	mapping	"3. **Missing Data** — how NAs in predictors, weights, or strata are handled."	Missing Data
function-documentation-077	.claude/rules/function-documentation.md	160	requirement	"Include if the behavior is non-obvious or if the function exposes a `missing_method` argument."	Missing Data;missing_method
function-documentation-078	.claude/rules/function-documentation.md	163	mapping	"4. **Replicate Weights** — behavior when the input contains replicate weight columns."	Replicate Weights
function-documentation-079	.claude/rules/function-documentation.md	164	requirement	"Documents scope differences (the method is applied to all replicate weight columns in addition to the main weight), not algorithm differences."	Replicate Weights
