id	verdict	location	evidence
r-package-conventions-001	DELETED	 	Approved under C2 (plans/spec-rules-redesign.md §13.4): delete the Version/Created/Status headers across six files; new file has no such header (starts directly with the title at line 1).
r-package-conventions-002	MOVED	.claude/standards/r-package-conventions.md:3	This document covers conventions that apply to **all surveyverse R packages**.
r-package-conventions-003	MOVED	.claude/standards/r-package-conventions.md:3	For package-specific examples and details, see the local conventions file in each package (e.g., `surveywts-conventions.md`).
r-package-conventions-004	MOVED	.claude/standards/r-package-conventions.md:11	Import style | `::` everywhere; no `@importFrom`
r-package-conventions-005	MOVED	.claude/standards/r-package-conventions.md:12	`devtools::document()` | Before committing any file that changes roxygen2 content
r-package-conventions-006	MOVED	.claude/standards/r-package-conventions.md:13	`devtools::check()` | Before opening a PR
r-package-conventions-007	MOVED	.claude/standards/r-package-conventions.md:14	NAMESPACE edits | Never manual — 100% generated by `devtools::document()`
r-package-conventions-008	MOVED	.claude/standards/r-package-conventions.md:15	`R CMD check` | 0 errors, 0 warnings, ≤2 pre-approved notes
r-package-conventions-009	MOVED	.claude/standards/r-package-conventions.md:16	Export policy | User-facing functions + S7 classes only (a package that defines no classes exports only functions)
r-package-conventions-010	MOVED	.claude/standards/r-package-conventions.md:17	Re-exports | None — no pipe, no tidyselect helpers
r-package-conventions-011	MOVED	.claude/standards/r-package-conventions.md:18	Function docs (roxygen2) | See `function-documentation.md` in each package
r-package-conventions-012	MOVED	.claude/standards/r-package-conventions.md:19	Version pinning | Minimum versions only (e.g., `cli (>= 3.6.0)`)
r-package-conventions-013	MOVED	.claude/standards/r-package-conventions.md:20	Dataset `@format` | Single `\describe{}` block; every column must have `\item{}`
r-package-conventions-014	MOVED	.claude/standards/r-package-conventions.md:26-28	For function-level roxygen2 documentation — titles, descriptions, `@param`, `@returns`, `@details`, named sections, `@references`, `@seealso`, `@examples`, and internal helper docs — see `function-documentation.md` in each package.
r-package-conventions-015	MOVED	.claude/standards/r-package-conventions.md:34	### The codoc rule: one `\describe{}` block, all columns
r-package-conventions-016	MOVED	.claude/standards/r-package-conventions.md:36-38	R CMD check's `codoc` tool checks that every column in a bundled data frame has a matching `\item{}` entry in the documentation.
r-package-conventions-017	MOVED	.claude/standards/r-package-conventions.md:40-42	It only reads the FIRST `\describe{}` block** in the `@format` section. Any additional `\describe{}` blocks ... are silently ignored by `codoc`.
r-package-conventions-018	MOVED	.claude/standards/r-package-conventions.md:43-44	It requires bidirectional coverage: every column in the data must be documented, and every documented item must exist in the data.
r-package-conventions-019	MOVED	.claude/standards/r-package-conventions.md:46	**Result of violations:** `checking for code/documentation mismatches ... WARNING`, which blocks CI.
r-package-conventions-020	MOVED	.claude/standards/r-package-conventions.md:50-51	"Every data frame column must have a `\item{}` entry — no \key columns only\"" approach with a note about undocumented columns."""
r-package-conventions-021	MOVED	.claude/standards/r-package-conventions.md:51	"no \key columns only\"" approach with a note about undocumented columns."""
r-package-conventions-022	MOVED	.claude/standards/r-package-conventions.md:52-53	Use **exactly one `\describe{}` block** in the `@format` section, regardless of how many conceptual groups the columns fall into.
r-package-conventions-023	MOVED	.claude/standards/r-package-conventions.md:54-55	"If you want to group columns (e.g., \Benchmark variables\""), do it with narrative prose inside the `@description`"""
r-package-conventions-024	MOVED	.claude/standards/r-package-conventions.md:55	not with a second `\describe{}`.
r-package-conventions-025	MOVED	.claude/standards/r-package-conventions.md:57-58	# Correct — single \describe{} block, all columns covered
r-package-conventions-026	MOVED	.claude/standards/r-package-conventions.md:59	#' @format A data frame with 500 rows and 6 columns:
r-package-conventions-027	MOVED	.claude/standards/r-package-conventions.md:60-67	full \describe{} block with id/gender/age/registered/vote14/weight \item{} entries, identical to fragment text
r-package-conventions-028	MOVED	.claude/standards/r-package-conventions.md:69	# Wrong — second \describe{} block is invisible to codoc
r-package-conventions-029	MOVED	.claude/standards/r-package-conventions.md:70	#' @format A data frame with 500 rows and 6 columns. Key columns:
