id	verdict	location	evidence
function-documentation-001	DELETED		Approved deletion C2 (Version/Created/Status headers) per plans/spec-rules-redesign.md Sec 5/13 -- the Status line is gone from .claude/standards/function-documentation.md along with Version/Created; title and body text follow directly (line 1 title, blank, then body at line 3).
function-documentation-002	MOVED	.claude/standards/function-documentation.md:3	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""This document defines how every exported function in surveywts must be documented."""
function-documentation-003	MOVED	.claude/standards/function-documentation.md:4	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""It is the authoritative reference for documentation audits and new function implementations."""
function-documentation-004	MOVED	.claude/standards/function-documentation.md:8	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""`r-package-conventions.md` — codoc requirements for datasets, NAMESPACE, export policy"""
function-documentation-005	MOVED	.claude/standards/function-documentation.md:9	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""`code-style.md` — `cli_abort()` / `cli_warn()` structure, S7 patterns"""
function-documentation-006	MOVED	.claude/standards/function-documentation.md:10	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""`surveywts-conventions.md` — `@family` tags, file organization, argument order"""
function-documentation-007	MOVED	.claude/standards/function-documentation.md:16	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""These rules apply to every exported function, regardless of tier."""
function-documentation-008	MOVED	.claude/standards/function-documentation.md:20	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""Write as an active verb phrase in the present tense: Clip weights to a range"", not ""Clipping of weig..."""
function-documentation-009	MOVED	.claude/standards/function-documentation.md:22	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""Do not repeat the function name's verb"""
function-documentation-010	MOVED	.claude/standards/function-documentation.md:22	"Verified via git diff against pinned original (commit 45e8751 .claude/rules/function-documentation.md): byte-identical except header removal and one unrelated insertion elsewhere. Surviving text: ""use a synonym to give a second angle on intent (`ipw()` → Estimate inverse probability weights"", not..."""
